"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"HEM14" "MATCH" "1" "HEM14" "S. cerevisiae" "HEMe biosynthesis" "1620" "YER014W" "S000000816" "ORF"
"PDB1" "MATCH" "1" "PDB1" "S. cerevisiae" "Pyruvate Dehydrogenase Beta subunit" "1101" "YBR221C" "S000000425" "ORF"
"HEM12" "MATCH" "1" "HEM12" "S. cerevisiae" "HEMe biosynthesis" "1089" "YDR047W" "S000002454" "ORF"
"ARG5,6" "MATCH" "1" "ARG5,6" "S. cerevisiae" "ARGinine requiring" "2592" "YER069W" "S000000871" "ORF"
"UBP15" "MATCH" "1" "UBP15" "S. cerevisiae" "UBiquitin-specific Protease" "3693" "YMR304W" "S000004920" "ORF"
"NFU1" "MATCH" "1" "NFU1" "S. cerevisiae" "NifU-like protein" "771" "YKL040C" "S000001523" "ORF"
"RIM20" "MATCH" "1" "RIM20" "S. cerevisiae" "Regulator of IME2" "1986" "YOR275C" "S000005801" "ORF"
"UBP6" "MATCH" "1" "UBP6" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YFR010W" "S000001906" "ORF"
"AIP1" "MATCH" "1" "AIP1" "S. cerevisiae" "Actin Interacting Protein" "1848" "YMR092C" "S000004698" "ORF"
"ERG2" "MATCH" "1" "ERG2" "S. cerevisiae" "ERGosterol biosynthesis" "669" "YMR202W" "S000004815" "ORF"
"VPS34" "MATCH" "1" "VPS34" "S. cerevisiae" "Vacuolar Protein Sorting" "2628" "YLR240W" "S000004230" "ORF"
"MAF1" "MATCH" "1" "MAF1" "S. cerevisiae" "" "1268" "YDR005C" "S000002412" "ORF"
"VMS1" "MATCH" "1" "VMS1" "S. cerevisiae" "VCP/Cdc48-associated Mitochondrial Stress-responsive" "1899" "YDR049W" "S000002456" "ORF"
"ASC1" "MATCH" "1" "ASC1" "S. cerevisiae" "Absence of growth Suppressor of Cyp1" "1233" "YMR116C" "S000004722" "ORF"
"VMA3" "MATCH" "1" "VMA3" "S. cerevisiae" "Vacuolar Membrane Atpase" "483" "YEL027W" "S000000753" "ORF"
"MDM35" "MATCH" "1" "MDM35" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "261" "YKL053C-A" "S000007243" "ORF"
"VMA7" "MATCH" "1" "VMA7" "S. cerevisiae" "Vacuolar Membrane Atpase" "357" "YGR020C" "S000003252" "ORF"
"MDM38" "MATCH" "1" "MDM38" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1722" "YOL027C" "S000005387" "ORF"
"VMA8" "MATCH" "1" "VMA8" "S. cerevisiae" "Vacuolar Membrane Atpase" "771" "YEL051W" "S000000777" "ORF"
"TRM10" "MATCH" "1" "TRM10" "S. cerevisiae" "Transfer RNA Methyltransferase" "882" "YOL093W" "S000005453" "ORF"
"CYS4" "MATCH" "1" "CYS4" "S. cerevisiae" "CYStathionine beta-synthase" "1524" "YGR155W" "S000003387" "ORF"
"GRX5" "MATCH" "1" "GRX5" "S. cerevisiae" "GlutaRedoXin" "453" "YPL059W" "S000005980" "ORF"
"CYS3" "MATCH" "1" "CYS3" "S. cerevisiae" "CYStathionine gamma-lyase" "1185" "YAL012W" "S000000010" "ORF"
"ETR1" "MATCH" "1" "ETR1" "S. cerevisiae" "2-Enoyl Thioester Reductase" "1143" "YBR026C" "S000000230" "ORF"
"CDC40" "MATCH" "1" "CDC40" "S. cerevisiae" "Cell Division Cycle" "1368" "YDR364C" "S000002772" "ORF"
"RTC6" "MATCH" "1" "RTC6" "S. cerevisiae" "Restriction of Telomere Capping" "282" "YPL183W-A" "S000007224" "ORF"
"PRE9" "MATCH" "1" "PRE9" "S. cerevisiae" "PRoteinase yscE" "777" "YGR135W" "S000003367" "ORF"
"MSH2" "MATCH" "1" "MSH2" "S. cerevisiae" "MutS Homolog" "2895" "YOL090W" "S000005450" "ORF"
"YKE2" "MATCH" "1" "YKE2" "S. cerevisiae" "Yeast ortholog of mouse KE2" "345" "YLR200W" "S000004190" "ORF"
"VPS20" "MATCH" "1" "VPS20" "S. cerevisiae" "Vacuolar Protein Sorting" "666" "YMR077C" "S000004682" "ORF"
"STP22" "MATCH" "1" "STP22" "S. cerevisiae" "STerile Pseudoreversion" "1158" "YCL008C" "S000000514" "ORF"
"DOC1" "MATCH" "1" "DOC1" "S. cerevisiae" "Destruction Of Cyclin B" "753" "YGL240W" "S000003209" "ORF"
"SAC1" "MATCH" "1" "SAC1" "S. cerevisiae" "Suppressor of ACtin" "1872" "YKL212W" "S000001695" "ORF"
"MSY1" "MATCH" "1" "MSY1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)" "1479" "YPL097W" "S000006018" "ORF"
"UPS1" "MATCH" "1" "UPS1" "S. cerevisiae" "UnProceSsed" "528" "YLR193C" "S000004183" "ORF"
"RKR1" "MATCH" "1" "RKR1" "S. cerevisiae" "RING domain mutant Killed by Rtf1 deletion" "4689" "YMR247C" "S000004861" "ORF"
"VPS28" "MATCH" "1" "VPS28" "S. cerevisiae" "Vacuolar Protein Sorting" "729" "YPL065W" "S000005986" "ORF"
"BNA4" "MATCH" "1" "BNA4" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1383" "YBL098W" "S000000194" "ORF"
"PIF1" "MATCH" "1" "PIF1" "S. cerevisiae" "Petite Integration Frequency" "2580" "YML061C" "S000004526" "ORF"
"BNA1" "MATCH" "1" "BNA1" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "534" "YJR025C" "S000003786" "ORF"
"IFM1" "MATCH" "1" "IFM1" "S. cerevisiae" "Initiation Factor of Mitochondria" "2031" "YOL023W" "S000005383" "ORF"
"ATP7" "MATCH" "1" "ATP7" "S. cerevisiae" "ATP synthase" "525" "YKL016C" "S000001499" "ORF"
"ATP5" "MATCH" "1" "ATP5" "S. cerevisiae" "ATP synthase" "639" "YDR298C" "S000002706" "ORF"
"COX17" "MATCH" "1" "COX17" "S. cerevisiae" "Cytochrome c OXidase" "210" "YLL009C" "S000003932" "ORF"
"MRPL19" "MATCH" "1" "MRPL19" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "477" "YNL185C" "S000005129" "ORF"
"UBA4" "MATCH" "1" "UBA4" "S. cerevisiae" "UBiquitin-Activating" "1323" "YHR111W" "S000001153" "ORF"
"ATP3" "MATCH" "1" "ATP3" "S. cerevisiae" "ATP synthase" "936" "YBR039W" "S000000243" "ORF"
"URA2" "MATCH" "1" "URA2" "S. cerevisiae" "URAcil requiring" "6645" "YJL130C" "S000003666" "ORF"
"MRPL17" "MATCH" "1" "MRPL17" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "846" "YNL252C" "S000005196" "ORF"
"ATP4" "MATCH" "1" "ATP4" "S. cerevisiae" "ATP synthase" "735" "YPL078C" "S000005999" "ORF"
"URA1" "MATCH" "1" "URA1" "S. cerevisiae" "URAcil requiring" "945" "YKL216W" "S000001699" "ORF"
"ATP1" "MATCH" "1" "ATP1" "S. cerevisiae" "ATP synthase" "1638" "YBL099W" "S000000195" "ORF"
"ATP2" "MATCH" "1" "ATP2" "S. cerevisiae" "ATP synthase" "1536" "YJR121W" "S000003882" "ORF"
"RTF1" "MATCH" "1" "RTF1" "S. cerevisiae" "Restores TBP Function" "1677" "YGL244W" "S000003213" "ORF"
"CYT1" "MATCH" "1" "CYT1" "S. cerevisiae" "CYTochrome c1" "930" "YOR065W" "S000005591" "ORF"
"COX6" "MATCH" "1" "COX6" "S. cerevisiae" "Cytochrome c OXidase" "447" "YHR051W" "S000001093" "ORF"
"SUV3" "MATCH" "1" "SUV3" "S. cerevisiae" "SUppressor of Var1" "2214" "YPL029W" "S000005950" "ORF"
"XKS1" "MATCH" "1" "XKS1" "S. cerevisiae" "XyluloKinaSe" "1803" "YGR194C" "S000003426" "ORF"
"MIP1" "MATCH" "1" "MIP1" "S. cerevisiae" "MItochondrial DNA Polymerase" "3765" "YOR330C" "S000005857" "ORF"
"COX1" "MATCH" "1" "COX1" "S. cerevisiae" "Cytochrome c OXidase" "12884" "Q0045" "S000007260" "ORF"
"SPT4" "MATCH" "1" "SPT4" "S. cerevisiae" "SuPpressor of Ty's" "309" "YGR063C" "S000003295" "ORF"
"VPS15" "MATCH" "1" "VPS15" "S. cerevisiae" "Vacuolar Protein Sorting" "4365" "YBR097W" "S000000301" "ORF"
"GUA1" "MATCH" "1" "GUA1" "S. cerevisiae" "GUanine Auxotroph" "1578" "YMR217W" "S000004830" "ORF"
"VPS16" "MATCH" "1" "VPS16" "S. cerevisiae" "Vacuolar Protein Sorting" "2397" "YPL045W" "S000005966" "ORF"
"ATG5" "MATCH" "1" "ATG5" "S. cerevisiae" "AuTophaGy related" "885" "YPL149W" "S000006070" "ORF"
"MRP2" "MATCH" "1" "MRP2" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "348" "YPR166C" "S000006370" "ORF"
"IDH2" "MATCH" "1" "IDH2" "S. cerevisiae" "Isocitrate DeHydrogenase" "1110" "YOR136W" "S000005662" "ORF"
"LSM1" "MATCH" "1" "LSM1" "S. cerevisiae" "Like SM" "519" "YJL124C" "S000003660" "ORF"
