cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	S.cerevisiae_GeneID	H.sapiens_structure	S.cerevisiae_structure	name	length	secondaryIdentifier	primaryIdentifier	hyperlink	any_structure	auxotrophic	non_respiratory	non_carbon_using
962	O75478	Q02336	0.28801843318	423	31	125	298	11	201	O75478	Q02336	TADA2A	ADA2	TRUE	TRUE	transcriptional ADAptor	1305	YDR448W	S000002856	https://www.yeastgenome.org/locus/S000002856	TRUE	TRUE	TRUE	FALSE
1967	P22234	P27616	0.221014492754	264	203	61	203	12	55	P22234	P27616	PAICS	ADE1	TRUE	TRUE	ADEnine requiring	921	YAR015W	S000000070	https://www.yeastgenome.org/locus/S000000070	TRUE	TRUE	FALSE	FALSE
107	P22102	P07244	0.446406052963	783	246	354	429	10	677	P22102	P07244	GART	ADE5,7	TRUE	FALSE	ADEnine requiring	2409	YGL234W	S000003203	https://www.yeastgenome.org/locus/S000003203	TRUE	TRUE	FALSE	FALSE
699	P54819	P07170	0.5625	221	19	126	95	3	262	P54819	P07170	AK2	ADK1	TRUE	TRUE	ADenylate Kinase	669	YDR226W	S000002634	https://www.yeastgenome.org/locus/S000002634	TRUE	TRUE	TRUE	TRUE
713	O75083	P46680	0.290268456376	572	77	173	399	24	256	O75083	P46680	WDR1	AIP1	FALSE	TRUE	Actin Interacting Protein	1848	YMR092C	S000004698	https://www.yeastgenome.org/locus/S000004698	TRUE	TRUE	FALSE	FALSE
330	P00966	P22768	0.492788461538	411	10	205	206	5	416	P00966	P22768	ASS1	ARG1	TRUE	FALSE	ARGinine requiring	1263	YOL058W	S000005419	https://www.yeastgenome.org/locus/S000005419	TRUE	TRUE	FALSE	FALSE
766	P00480	P05150	0.369696969697	324	44	122	202	6	243	P00480	P05150	OTC	ARG3	TRUE	FALSE	ARGinine requiring	1017	YJL088W	S000003624	https://www.yeastgenome.org/locus/S000003624	TRUE	TRUE	FALSE	FALSE
236	P04424	P04076	0.540948275862	460	7	251	209	4	496	P04424	P04076	ASL	ARG4	TRUE	FALSE	ARGinine requiring	1392	YHR018C	S000001060	https://www.yeastgenome.org/locus/S000001060	TRUE	TRUE	FALSE	FALSE
1381	Q8N159	Q01217	0.251509054326	480	437	125	355	17	128	Q8N159	Q01217	NAGS	ARG5,6	TRUE	TRUE	ARGinine requiring	2592	YER069W	S000000871	https://www.yeastgenome.org/locus/S000000871	TRUE	TRUE	FALSE	FALSE
454	P63244	P38011	0.531446540881	313	10	169	144	5	347	P63244	P38011	RACK1	ASC1	TRUE	TRUE	Absence of growth Suppressor of Cyp1	1233	YMR116C	S000004722	https://www.yeastgenome.org/locus/S000004722	TRUE	FALSE	TRUE	FALSE
