cluster	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	S.cerevisiae_GeneID	H.sapiens_structure	S.cerevisiae_structure
3	2085	P27708	P07259	CAD	URA2	TRUE	FALSE
29	1049	Q99798	P19414	ACO2	ACO1	FALSE	FALSE
61	819	Q9HD20	P39986	ATP13A1	SPF1	FALSE	FALSE
64	806	Q9ULG1	P53115	INO80	INO80	TRUE	TRUE
71	780	Q96RP9	P25039	GFM1	MEF1	FALSE	FALSE
87	742	P25705	P07251	ATP5F1A	ATP1	FALSE	TRUE
91	733	P06576	P00830	ATP5F1B	ATP2	FALSE	TRUE
97	711	P0CG48	P0CG63	UBC	UBI4	TRUE	TRUE
106	680	P43246	P25847	MSH2	MSH2	TRUE	FALSE
107	677	P22102	P07244	GART	ADE5,7	TRUE	FALSE
114	666	O15067	P38972	PFAS	ADE6	FALSE	FALSE
116	660	P54098	P15801	POLG	MIP1	TRUE	FALSE
117	660	Q9Y2I7	P34756	PIKFYVE	FAB1	FALSE	FALSE
128	642	P00395	P00401	MT-CO1	COX1	TRUE	TRUE
137	623	P07954	P08417	FH	FUM1	TRUE	TRUE
160	592	Q9NSE4	P48526	IARS2	ISM1	FALSE	FALSE
195	545	P09622	P09624	DLD	LPD1	TRUE	TRUE
207	530	Q8NEB9	P22543	PIK3C3	VPS34	TRUE	TRUE
210	528	Q15031	P11325	LARS2	NAM2	FALSE	FALSE
217	517	Q9NPH2	P11986	ISYNA1	INO1	FALSE	TRUE
223	510	O95163	Q06706	ELP1	IKI3	TRUE	TRUE
225	508	P49411	P02992	TUFM	TUF1	FALSE	FALSE
233	498	P42356	P37297	PI4KA	STT4	TRUE	FALSE
236	496	P04424	P04076	ASL	ARG4	TRUE	FALSE
246	482	A2PYH4	P51979	HFM1	HFM1	FALSE	FALSE
253	476	P48506	P32477	GCLC	GSH1	FALSE	TRUE
260	468	Q99570	P22219	PIK3R4	VPS15	FALSE	TRUE
264	466	Q93009	P50101	USP7	UBP15	TRUE	FALSE
268	463	Q06609	P25454	RAD51	RAD51	TRUE	TRUE
279	460	Q96TA2	P32795	YME1L1	YME1	FALSE	TRUE
282	458	P42898	P53128	MTHFR	MET13	TRUE	FALSE
297	443	Q13472	P13099	TOP3A	TOP3	TRUE	FALSE
299	439	P11413	P11412	G6PD	ZWF1	TRUE	FALSE
320	424	Q9Y276	P32839	BCS1L	BCS1	FALSE	FALSE
330	416	P00966	P22768	ASS1	ARG1	TRUE	FALSE
338	411	P11177	P32473	PDHB	PDB1	TRUE	FALSE
339	411	Q969S9	P39677	GFM2	MEF2	FALSE	FALSE
344	408	O00743	P20604	PPP6C	SIT4	FALSE	FALSE
347	406	Q9P2K8	P15442	EIF2AK4	GCN2	FALSE	TRUE
369	393	O43766	P32875	LIAS	LIP5	FALSE	FALSE
378	387	O95470	Q05567	SGPL1	DPL1	TRUE	TRUE
384	383	P21912	P21801	SDHB	SDH2	FALSE	TRUE
397	375	P35520	P32582	CBS	CYS4	TRUE	TRUE
401	374	Q9UBF8	P39104	PI4KB	PIK1	TRUE	TRUE
408	371	P46199	P25038	MTIF2	IFM1	TRUE	FALSE
409	370	P32929	P31373	CTH	CYS3	TRUE	TRUE
418	366	Q13608	P33760	PEX6	PEX6	FALSE	FALSE
422	365	Q6IA86	P42935	ELP2	ELP2	FALSE	TRUE
429	362	P06132	P32347	UROD	HEM12	TRUE	FALSE
434	360	P19623	Q12074	SRM	SPE3	TRUE	FALSE
450	350	Q16719	Q05979	KYNU	BNA5	TRUE	FALSE
451	350	Q9NTJ5	P32368	SACM1L	SAC1	FALSE	TRUE
454	347	P63244	P38011	RACK1	ASC1	TRUE	TRUE
457	346	P36957	P19262	DLST	KGD2	FALSE	FALSE
460	346	Q99797	P35999	MIPEP	OCT1	FALSE	FALSE
465	343	P50213	P28241	IDH3A	IDH2	TRUE	TRUE
469	342	Q9BVK2	P40351	ALG8	ALG8	FALSE	FALSE
491	331	P07902	P08431	GALT	GAL7	TRUE	FALSE
498	329	Q9H611	P07271	PIF1	PIF1	TRUE	TRUE
499	329	Q9Y263	P36037	PLAA	DOA1	TRUE	TRUE
516	318	O95155	P54860	UBE4B	UFD2	TRUE	TRUE
522	314	P40926	P17505	MDH2	MDH1	TRUE	TRUE
524	312	Q7Z7A3	P53088	CTU1	NCS6	FALSE	FALSE
526	310	Q96GW9	P22438	MARS2	MSM1	FALSE	FALSE
537	305	P08574	P07143	CYC1	CYT1	TRUE	TRUE
541	304	O95363	P08425	FARS2	MSF1	TRUE	FALSE
546	304	Q05932	Q08645	FPGS	MET7	FALSE	FALSE
547	304	Q9Y672	Q12001	ALG6	ALG6	FALSE	FALSE
553	302	Q6PI48	P15179	DARS2	MSD1	TRUE	FALSE
568	299	P49915	P38625	GMPS	GUA1	TRUE	FALSE
581	295	Q8IYB8	P32580	SUPV3L1	SUV3	TRUE	FALSE
587	294	Q86WU2	P32891	LDHD	DLD1	FALSE	FALSE
600	291	O75191	P42826	XYLB	XKS1	TRUE	FALSE
601	291	Q9UBP6	Q12009	METTL1	TRM8	TRUE	TRUE
607	289	Q86YJ6	P16120	THNSL2	THR4	FALSE	TRUE
612	288	Q96I59	P25345	NARS2	SLM5	FALSE	FALSE
615	286	Q5JPH6	P48525	EARS2	MSE1	FALSE	FALSE
623	284	O60508	P40968	CDC40	CDC40	TRUE	TRUE
624	284	O95396	P38820	MOCS3	UBA4	TRUE	FALSE
632	283	Q14191	P35187	WRN	SGS1	TRUE	TRUE
645	280	Q9NQH7	P40051	XPNPEP3	ICP55	TRUE	TRUE
657	275	O15229	P38169	KMO	BNA4	TRUE	TRUE
659	274	O75845	P32353	SC5D	ERG3	FALSE	FALSE
663	273	Q7KZN9	P40086	COX15	COX15	FALSE	FALSE
666	271	Q9Y617	P33330	PSAT1	SER1	TRUE	FALSE
