cluster	bitscore	H.sapiens	S.cerevisiae
1	3010	Q6P2Q9	P33334
2	2102	Q9NU22	Q12019
3	2085	P27708	P07259
4	1960	Q14204	P36022
6	1844	P24928	P04050
8	1633	Q07864	P21951
10	1498	O75643	P32639
11	1494	Q8N3C0	P53327
12	1396	P30876	P08518
13	1385	Q9NW08	P22276
14	1366	O14802	P04051
15	1347	Q9Y4A5	P38811
17	1199	P41252	P09436
18	1172	O14841	P28273
19	1147	P13639	P32324
20	1144	P55072	P25694
21	1141	O14981	P32333
22	1107	Q9H0A0	P53914
25	1079	O95602	P10964
26	1069	P42285	P47047
28	1059	P22314	P22515
29	1049	Q99798	P19414
31	1039	Q92616	P33892
32	1020	P53621	P53622
33	1007	O14980	P30822
34	1002	P26640	P07806
35	995	P23378	P49095
37	980	P28340	P15436
41	935	Q92900	P30771
42	929	Q14562	P24384
43	928	P35573	Q06625
44	919	P49588	P40825
45	917	Q9H9Y6	P22138
46	909	O75533	P49955
47	907	Q9P2J5	P26637
49	875	O43143	P53131
50	854	P61221	Q03195
53	843	Q6IA69	P38795
54	841	P11021	P16474
58	834	Q9H9T3	Q02908
61	819	Q9HD20	P39986
62	807	P18074	P06839
63	807	Q14692	Q08965
64	806	Q9ULG1	P53115
66	795	Q7Z2Z2	P53893
67	790	P19447	Q00578
68	787	Q04446	P32775
69	787	Q9NTJ3	Q12267
71	780	Q96RP9	P25039
74	771	P49736	P29469
76	769	P53618	P41810
77	767	O95347	P38989
78	767	P36776	P36775
81	763	O60673	P14284
84	751	Q8N122	P38873
85	750	Q15269	P25635
86	744	O60841	P39730
87	742	P25705	P07251
89	738	Q92620	P15938
90	736	Q9Y2L1	Q08162
91	733	P06576	P00830
97	711	P0CG48	P0CG63
98	709	P14735	Q06010
99	708	Q15477	P35207
100	702	Q99460	P32565
103	696	Q14566	P53091
104	694	Q9UQE7	P47037
105	687	P09884	P13382
106	680	P43246	P25847
107	677	P22102	P07244
108	676	Q99832	P42943
109	675	P48643	P40413
112	668	P17987	P12612
114	666	O15067	P38972
115	664	P78371	P39076
116	660	P54098	P15801
117	660	Q9Y2I7	P34756
118	658	P33991	P30665
119	658	Q7Z6Z7	Q03280
121	652	Q15046	P15180
122	652	Q13200	P38764
123	651	P35998	P33299
125	646	P49368	P39077
126	645	Q03468	P40352
127	643	P33992	P29496
128	642	P00395	P00401
129	633	P06744	P12709
130	633	P33993	P38132
131	631	P23526	P39954
132	631	P62191	P40327
133	629	Q9Y265	Q03940
135	627	P46459	P18759
136	624	Q9Y230	Q12464
137	623	P07954	P08417
138	622	Q9NVP1	Q03532
139	621	Q92698	P32863
140	618	P50991	P39078
141	615	P56192	P00958
143	611	O60832	P33322
144	611	O00429	P54861
145	608	P25205	P24279
146	607	P49589	P53852
147	605	P62195	Q01939
148	604	P62495	P12385
149	602	P10809	P19882
150	602	Q5JRX3	P32898
152	599	Q9UNX4	Q12220
153	596	P30566	Q05911
154	595	Q9Y5B9	P32558
157	593	Q8N442	P46943
158	592	P17980	P33297
159	592	O15381	Q07844
160	592	Q9NSE4	P48526
161	589	P55060	P33307
163	586	O95427	P36051
164	583	O75027	P40416
165	582	Q8IY37	Q04217
166	581	Q16134	Q08822
171	571	Q9NTJ4	P22855
173	569	P26196	P39517
174	568	Q9UG63	P40024
176	564	O75691	P35194
177	564	Q9Y697	P25374
179	562	Q8NB90	P32794
186	557	P18858	P04819
187	555	Q92878	P12753
188	555	Q9BZE4	Q02892
189	555	Q9NUQ8	P43535
190	554	O43776	P38707
191	554	P43686	P33298
195	545	P09622	P09624
196	545	Q9Y2Z2	P53070
198	543	P62333	P53549
199	540	P14868	P04802
201	536	P48449	P38604
204	533	Q9UKF6	Q06224
206	531	P61160	P32381
207	530	Q8NEB9	P22543
210	528	Q15031	P11325
214	520	P52701	Q03834
217	517	Q9NPH2	P11986
219	515	P47897	P13188
220	512	A5YKK6	P25655
223	510	O95163	Q06706
225	508	P49411	P02992
226	508	Q13206	P20448
227	503	Q9NSD9	P15624
229	501	Q16851	P32861
230	499	P38919	Q12099
233	498	P42356	P37297
234	498	Q13823	P53742
235	498	Q92562	P42837
236	496	P04424	P04076
237	491	P40692	P38920
239	489	Q9BSC4	P48234
240	488	Q9Y295	P39729
243	487	P46087	P40991
244	486	Q9NRZ9	P43610
246	482	A2PYH4	P51979
247	482	P11766	P32771
249	481	Q8TDD1	Q12389
251	480	P50990	P47079
253	476	P48506	P32477
255	473	O00567	Q12460
256	473	Q9H4L7	P31380
257	472	Q14974	Q06142
258	470	P43304	P32191
260	468	Q99570	P22219
261	468	Q9NVX2	P25382
262	468	Q9BZJ0	Q12309
264	466	Q93009	P50101
268	463	Q06609	P25454
271	462	P04040	P15202
278	460	Q5VYK3	P38737
279	460	Q96TA2	P32795
280	459	Q9Y2X3	Q12499
282	458	P42898	P53128
284	456	Q9Y285	P15625
285	455	P51649	P38067
286	453	P61011	P20424
287	453	P23381	Q12109
288	453	Q96D46	P38861
289	452	P54278	P14242
293	448	Q8NI36	Q06078
294	447	Q9H0S4	P38712
295	445	P20585	P25336
297	443	Q13472	P13099
298	441	P51530	P38859
299	439	P11413	P11412
300	439	Q7L014	P21372
301	439	Q9Y5P6	P41940
305	433	P30038	P07275
306	433	P00390	P41921
307	433	Q14669	P33202
308	433	Q9NY93	Q06218
309	431	Q08J23	P38205
310	430	P55039	P53295
311	429	P35251	P38630
312	429	P09960	Q10740
313	428	Q96GQ7	P32892
320	424	Q9Y276	P32839
321	423	P39748	P26793
322	423	Q96QK1	P34110
323	422	P50579	P38174
324	422	Q9NY33	Q08225
326	420	O00541	P53261
328	417	P15104	P32288
329	417	Q9NPF4	P36132
330	416	P00966	P22768
331	416	Q12986	P53971
332	416	Q14690	Q05022
333	416	Q9NV06	P33750
336	412	Q13535	P38111
338	411	P11177	P32473
