Q6P2Q9	PRPF8
P33334	PRP8
Q9NU22	MDN1
Q12019	MDN1
P27708	CAD
P07259	URA2
Q14204	DYNC1H1
P36022	DYN1
O00763	ACACB
Q13085	ACACA
Q00955	ACC1
P32874	HFA1
P24928	POLR2A
P04050	RPO21
P42345	MTOR
P35169	TOR1
P32600	TOR2
Q07864	POLE
P21951	POL2
Q00610	CLTC
P53675	CLTCL1
P22137	CHC1
O75643	SNRNP200
P32639	BRR2
Q8N3C0	ASCC3
P53327	SLH1
P30876	POLR2B
P08518	RPB2
Q9NW08	POLR3B
P22276	RET1
O14802	POLR3A
P04051	RPO31
Q9Y4A5	TRRAP
P38811	TRA1
P11498	PC
P11154	PYC1
P32327	PYC2
P41252	IARS
P09436	ILS1
O14841	OPLAH
P28273	OXP1
P13639	EEF2
P32324	EFT1
P55072	VCP
P25694	CDC48
O14981	BTAF1
P32333	MOT1
Q9H0A0	NAT10
P53914	KRE33
P11388	TOP2A
Q02880	TOP2B
P06786	TOP2
P23921	RRM1
P21672	RNR3
P21524	RNR1
O95602	POLR1A
P10964	RPA190
P42285	MTREX
P47047	MTR4
P33527	ABCC1
O15438	ABCC3
Q92887	ABCC2
O95255	ABCC6
P39109	YCF1
P22314	UBA1
P22515	UBA1
Q99798	ACO2
P19414	ACO1
P11586	MTHFD1
Q6UB35	MTHFD1L
P07245	ADE3
P09440	MIS1
Q92616	GCN1
P33892	GCN1
P53621	COPA
P53622	COP1
O14980	XPO1
P30822	CRM1
P26640	VARS
P07806	VAS1
P23378	GLDC
P49095	GCV2
Q9Y2Q0	ATP8A1
Q9NTI2	ATP8A2
P39524	DRS2
P28340	POLD1
P15436	POL3
O43861	ATP9B
O75110	ATP9A
P40527	NEO1
O60264	SMARCA5
P28370	SMARCA1
Q08773	ISW2
P38144	ISW1
P11142	HSPA8
P54652	HSPA2
P08107	HSPA1B
P34931	HSPA1L
P17066	HSPA6
P10591	SSA1
P10592	SSA2
P22202	SSA4
P09435	SSA3
Q92900	UPF1
P30771	NAM7
Q14562	DHX8
P24384	PRP22
P35573	AGL
Q06625	GDB1
P49588	AARS
P40825	ALA1
Q9H9Y6	POLR1B
P22138	RPA135
O75533	SF3B1
P49955	HSH155
Q9P2J5	LARS
P26637	CDC60
P08238	HSP90AB1
P07900	HSP90AA1
Q58FF7	HSP90AB3P
P02829	HSP82
P15108	HSC82
O43143	DHX15
P53131	PRP43
P61221	ABCE1
Q03195	RLI1
P31040	SDHA
Q00711	SDH1
P47052	
Q9ULV0	MYO5B
Q9Y4I1	MYO5A
Q9NQX4	MYO5C
P19524	MYO2
P32492	MYO4
Q6IA69	NADSYN1
P38795	QNS1
P11021	HSPA5
P16474	KAR2
Q02218	OGDH
Q9ULD0	OGDHL
P20967	KGD1
P35580	MYH10
P35579	MYH9
P35749	MYH11
Q7Z406	MYH14
P12883	MYH7
Q9UKX2	MYH2
P13535	MYH8
P11055	MYH3
P13533	MYH6
P12882	MYH1
Q9Y623	MYH4
A7E2Y1	MYH7B
Q9UKX3	MYH13
Q9Y2K3	MYH15
P08964	MYO1
P38646	HSPA9
P0CS90	SSC1
P39987	ECM10
Q9H9T3	ELP3
Q02908	ELP3
P98194	ATP2C1
O75185	ATP2C2
P13586	PMR1
P51532	SMARCA4
P51531	SMARCA2
P32597	STH1
P22082	SNF2
Q9HD20	ATP13A1
P39986	SPF1
P18074	ERCC2
P06839	RAD3
Q14692	BMS1
Q08965	BMS1
Q9ULG1	INO80
P53115	INO80
P26639	TARS
A2RTX5	TARSL2
P04801	THS1
Q7Z2Z2	EFL1
P53893	RIA1
P19447	ERCC3
Q00578	SSL2
Q04446	GBE1
P32775	GLC3
Q9NTJ3	SMC4
Q12267	SMC4
Q9Y6D5	ARFGEF2
Q9Y6D6	ARFGEF1
P11075	SEC7
Q96RP9	GFM1
P25039	MEF1
Q12965	MYO1E
O00160	MYO1F
Q04439	MYO5
P36006	MYO3
Q8TCJ2	STT3B
P46977	STT3A
P39007	STT3
P49736	MCM2
P29469	MCM2
O14646	CHD1
O14647	CHD2
P32657	CHD1
P53618	COPB1
P41810	SEC26
O95347	SMC2
P38989	SMC2
P36776	LONP1
P36775	PIM1
O94808	GFPT2
Q06210	GFPT1
P14742	GFA1
P21281	ATP6V1B2
P15313	ATP6V1B1
P16140	VMA2
O60673	REV3L
P14284	REV3
P06737	PYGL
P11216	PYGB
P11217	PYGM
P06738	GPH1
P68104	EEF1A1
Q5VTE0	EEF1A1P5
Q05639	EEF1A2
P02994	TEF1
Q8N122	RPTOR
P38873	KOG1
Q15269	PWP2
P25635	PWP2
O60841	EIF5B
P39730	FUN12
P25705	ATP5F1A
P07251	ATP1
Q15436	SEC23A
Q15437	SEC23B
P15303	SEC23
Q92620	DHX38
P15938	PRP16
Q9Y2L1	DIS3
Q08162	DIS3
P06576	ATP5F1B
P00830	ATP2
P13807	GYS1
P54840	GYS2
P23337	GSY1
P27472	GSY2
P31939	ATIC
P38009	ADE17
P54113	ADE16
Q9P241	ATP10D
O94823	ATP10B
O60312	ATP10A
