Record number	ORF	Batch	Collection	Plate	Row	Col	Comment
30916	YHL047C	chr8_1	Hom Dip	1	A	2	
30917	YHL046C	chr8_1	Hom Dip	1	A	3	
30918	YHL045W	chr8_1	Hom Dip	1	A	4	
30919	YHL044W	chr8_1	Hom Dip	1	A	5	
30920	YHL043W	chr8_1	Hom Dip	1	A	6	
30921	YHL042W	chr8_1	Hom Dip	1	A	7	
30922	YHL041W	chr8_1	Hom Dip	1	A	8	
30923	YHL040C	chr8_1	Hom Dip	1	A	9	
30925	YHL038C	chr8_1	Hom Dip	1	A	10	Uncharacterized content
30926	YHL037C	chr8_1	Hom Dip	1	A	11	
30927	YHL036W	chr8_1	Hom Dip	1	A	12	
30928	YHL035C	chr8_1	Hom Dip	1	B	1	
30929	YHL034C	chr8_1	Hom Dip	1	B	2	
30930	YHL033C	chr8_1	Hom Dip	1	B	3	
30931	YHL032C	chr8_1	Hom Dip	1	B	4	
30932	YHL031C	chr8_1	Hom Dip	1	B	5	
30933	YHL030W	chr8_1	Hom Dip	1	B	6	
30934	YHL029C	chr8_1	Hom Dip	1	B	7	
30935	YHL028W	chr8_1	Hom Dip	1	B	8	
30936	YHL027W	chr8_1	Hom Dip	1	B	9	
30937	YHL026C	chr8_1	Hom Dip	1	B	10	
30940	YHL023C	chr8_1	Hom Dip	1	B	11	
30941	YHL022C	chr8_1	Hom Dip	1	B	12	
30942	YHL021C	chr8_1	Hom Dip	1	C	1	
30943	YHL020C	chr8_1	Hom Dip	1	C	2	
30944	YHL019C	chr8_1	Hom Dip	1	C	3	
30946	YHL017W	chr8_1	Hom Dip	1	C	4	
30947	YHL016C	chr8_1	Hom Dip	1	C	5	
30949	YHL014C	chr8_1	Hom Dip	1	C	6	
30950	YHL013C	chr8_1	Hom Dip	1	C	7	
30951	YHL012W	chr8_1	Hom Dip	1	C	8	
30953	YHL010C	chr8_1	Hom Dip	1	C	9	
30954	YHL009C	chr8_1	Hom Dip	1	C	10	
30955	YHL008C	chr8_1	Hom Dip	1	C	11	
30956	YHL007C	chr8_1	Hom Dip	1	C	12	
30957	YHL006C	chr8_1	Hom Dip	1	D	1	
30959	YHL005C	chr8_1	Hom Dip	1	D	2	Uncharacterized content
30960	YHL003C	chr8_1	Hom Dip	1	D	3	
30964	YHR001W-A	chr8_1	Hom Dip	1	D	4	
30973	YHR010W	chr8_1	Hom Dip	1	D	5	Uncharacterized content
30974	YHR011W	chr8_1	Hom Dip	1	D	6	Uncharacterized content
30975	YHR012W	chr8_1	Hom Dip	1	D	7	
30976	YHR013C	chr8_1	Hom Dip	1	D	8	Uncharacterized content
30977	YHR014W	chr8_1	Hom Dip	1	D	9	
30978	YHR015W	chr8_1	Hom Dip	1	D	10	
30981	YHR018C	chr8_1	Hom Dip	1	D	11	
30984	YHR021C	chr8_1	Hom Dip	1	D	12	
30985	YHR022C	chr8_1	Hom Dip	1	E	1	
30991	YHR028C	chr8_1	Hom Dip	1	E	2	
30992	YHR029C	chr8_1	Hom Dip	1	E	3	
30993	YHR030C	chr8_1	Hom Dip	1	E	4	
30994	YHR031C	chr8_1	Hom Dip	1	E	5	
30996	YHR033W	chr8_1	Hom Dip	1	E	6	
30997	YHR034C	chr8_1	Hom Dip	1	E	7	
30998	YHR035W	chr8_1	Hom Dip	1	E	8	
31000	YHR037W	chr8_1	Hom Dip	1	E	9	
31001	YHR038W	chr8_1	Hom Dip	1	E	10	Uncharacterized content
31002	YHR039C	chr8_1	Hom Dip	1	E	11	
31006	YHR043C	chr8_1	Hom Dip	1	E	12	
31007	YHR044C	chr8_1	Hom Dip	1	F	1	
31873	YHR046C	chr8_2	Hom Dip	1	F	2	
31874	YHR047C	chr8_2	Hom Dip	1	F	3	
31875	YHR048W	chr8_2	Hom Dip	1	F	4	
