cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps
850	Q9BVI4	Q06512	0.324324324324	468	132	156	312	13
2033	Q16613	Q12447	0.227027027027	179	40	42	137	6
799	Q8WTT2	Q07896	0.291472868217	622	219	188	434	23
233	P42356	P37297	0.270080862534	1773	456	501	1272	82
674	Q9BV20	Q06489	0.448753462604	352	76	162	190	9
189	Q9NUQ8	P43535	0.430555555556	705	51	310	395	15
1639	O76094	P38688	0.224315068493	557	197	131	426	27
954	P20618	P23724	0.442553191489	232	18	104	128	3
1060	Q9NUI1	P32573	0.378839590444	286	12	111	175	7
819	Q9NWX6	P53215	0.474789915966	234	67	113	121	4
1427	Q9UJA5	P41814	0.251121076233	429	117	112	317	17
1426	Q9BXW7	P36151	0.264705882353	328	119	90	238	12
86	O60841	P39730	0.427565392354	963	296	425	538	31
1849	Q96J01	P53851	0.206798866856	335	103	73	262	18
1422	P48556	P32496	0.313432835821	261	102	84	177	7
1461	Q5T653	P32611	0.304635761589	287	124	92	195	15
300	Q7L014	P21372	0.323076923077	816	248	273	543	29
587	Q86WU2	P32891	0.339430894309	479	136	167	312	13
1816	Q9Y5M8	P36057	0.248945147679	229	57	59	170	8
146	P49589	P53852	0.443257676903	734	47	332	402	15
755	Q9UGM6	P04803	0.379781420765	357	25	139	218	9
47	Q9P2J5	P26637	0.458294283037	1046	174	489	557	21
471	P36551	P11353	0.521604938272	317	148	169	148	7
2019	Q15006	P47133	0.216117216117	259	71	59	200	14
1593	Q9BUI4	P32349	0.215264187867	488	212	110	378	23
28	P22314	P22515	0.517543859649	1011	60	531	480	15
1848	Q3MHD2	P38828	0.213114754098	178	26	39	139	5
271	P04040	P15202	0.472762645914	506	30	243	263	8
1052	Q13795	Q02804	0.465	197	5	93	104	3
1125	Q96JB2	P40094	0.221485411141	726	177	167	559	28
1068	Q9UHA3	Q07915	0.518072289157	163	36	86	77	3
1836	Q9BV38	P53877	0.216894977169	414	159	95	319	24
1801	Q5T440	P47158	0.269886363636	333	187	95	238	19
380	P35250	P40339	0.579754601227	321	35	189	132	5
307	Q14669	P33202	0.24966442953	1433	609	372	1061	57
1596	Q9BZL1	Q6Q546	0.643835616438	73	0	47	26	0
1846	O00488	Q08004	0.370967741935	119	62	46	73	5
2018	Q9NYJ1	Q05809	0.258426966292	87	9	23	64	2
1361	O94888	Q06682	0.275700934579	410	169	118	292	18
1355	Q7L5Y9	P40492	0.259541984733	382	148	102	280	11
1061	Q9Y5Q9	P33339	0.252643948296	817	277	215	602	34
1578	Q9UI43	P53123	0.330578512397	233	100	80	153	9
2004	Q6P3W2	P47138	0.255033557047	143	35	38	105	6
1051	Q16774	P15454	0.5	186	12	95	91	4
1800	Q2VPK5	P53923	0.206208425721	429	150	93	336	22
619	P49917	Q08387	0.259842519685	856	143	231	625	33
1110	Q9GZL7	Q12024	0.311320754717	410	63	132	278	14
723	Q8TBC4	Q99344	0.428571428571	293	176	129	164	8
298	P51530	P38859	0.310084825636	1020	542	329	691	41
480	P28715	P07276	0.267	964	289	267	697	36
243	P46087	P40991	0.460032626427	590	250	282	308	23
1040	Q15397	Q04373	0.240188383046	613	78	153	460	24
1824	O14561	P32463	0.349593495935	117	47	43	74	6
494	P16435	P16603	0.321804511278	644	80	214	430	21
177	Q9Y697	P25374	0.605206073753	456	42	279	177	5
1540	O75717	Q01454	0.21696969697	788	480	179	609	37
1196	Q8TBZ6	Q12400	0.302816901408	278	76	86	192	6
861	Q9H3H1	P07884	0.329411764706	412	71	140	272	13
1909	Q9BVC3	P25559	0.218232044199	350	73	79	271	12
1382	Q8TAF3	Q99247	0.230205278592	650	493	157	493	32
445	P24752	P41338	0.479797979798	390	45	190	200	6
1076	Q00403	P29055	0.326086956522	316	29	105	211	6
287	P23381	Q12109	0.525179856115	411	81	219	192	6
161	P55060	P33307	0.352450469239	941	49	338	603	18
289	P54278	P14242	0.368165249089	796	143	303	493	27
1410	O60869	O14467	0.439189189189	145	9	65	80	3
853	P55036	P38886	0.476923076923	256	133	124	132	4
1825	Q5J8M3	P53073	0.258620689655	167	39	45	122	7
655	Q9NXC5	P38164	0.272727272727	811	291	231	580	36
917	Q9BY44	P53235	0.279863481229	565	97	164	401	21
61	Q9HD20	P39986	0.405846947549	1140	139	472	668	23
247	P11766	P32771	0.616402116402	374	12	233	141	4
1815	Q8N2U9	Q03687	0.25	269	138	70	199	11
1008	Q8N8A6	P53734	0.299657534247	562	171	175	387	22
22	Q9H0A0	P53914	0.572549019608	1004	73	584	420	16
1242	O60337	P40318	0.212765957447	878	473	200	678	62
932	Q13286	P47040	0.373711340206	380	86	145	235	8
1949	O43715	O60200	0.358974358974	75	12	28	47	3
382	Q96S55	P40151	0.393356643357	553	146	225	328	19
1491	Q9P2X3	P25637	0.317647058824	247	84	81	166	8
1944	Q86V81	Q12159	0.266375545852	218	47	61	157	11
1617	Q9P015	P36520	0.272727272727	274	70	78	196	12
1915	P60602	Q02889	0.425	79	34	34	45	1
1784	Q9UHV9	P40005	0.345132743363	111	43	39	72	2
1066	P55769	P39990	0.685039370079	126	2	87	39	1
1773	Q9UKR5	P40030	0.296296296296	133	22	40	93	2
33	O14980	P30822	0.473684210526	1055	45	504	551	9
1344	P54198	P32480	0.221668742217	767	358	178	589	36
1205	P18754	P21827	0.292857142857	401	101	123	278	19
31	Q92616	P33892	0.295741324921	2458	427	750	1708	78
1483	Q9UJX6	Q12440	0.225067385445	706	263	167	539	36
715	Q8TEX9	P40069	0.227188081937	1041	112	244	797	33
19	P13639	P32324	0.670616113744	842	16	566	276	2
1781	Q96EU6	Q12481	0.2578125	244	71	66	178	12
688	Q9UHB4	Q12181	0.305369127517	580	60	182	398	16
1301	Q13526	P22696	0.451807228916	163	7	75	88	3
736	Q9BZE2	P31115	0.37619047619	405	113	158	247	15
2011	Q9H9J2	P36516	0.202090592334	277	168	58	219	10
1627	Q99720	P32352	0.305936073059	212	21	67	145	7
2003	Q6ZNG9	O13329	0.203271028037	402	254	87	315	26
1695	Q9Y584	Q12328	0.335260115607	167	67	58	109	6
255	O00567	Q12460	0.510891089109	493	112	258	235	12
764	Q9Y324	Q05498	0.60103626943	188	11	116	72	5
440	P22830	P16622	0.449494949495	389	38	178	211	7
1731	Q9NUW8	P38319	0.236328125	484	184	121	363	28
475	O94906	P19735	0.288990825688	846	148	252	594	26
1661	Q96S52	Q04080	0.238383838384	472	145	118	354	23
1644	Q9NQY0	P25343	0.267441860465	249	20	69	180	9
1303	Q5VIR6	P47061	0.213930348259	584	353	129	455	19
1257	O94903	P38197	0.389763779528	245	42	99	146	9
62	P18074	P06839	0.51968503937	756	26	396	360	6
204	Q9UKF6	Q06224	0.426300578035	676	111	295	381	16
1189	Q12874	P19736	0.280087527352	442	147	128	314	15
656	Q9H553	P43636	0.405339805825	399	121	167	232	13
1139	Q9NP77	P53538	0.426395939086	194	12	84	110	3
1813	Q12893	Q12239	0.211726384365	296	101	65	231	11
310	P55039	P53295	0.584239130435	364	4	215	149	4
1412	Q9BW85	P28320	0.315384615385	248	105	82	166	12
8	Q07864	P21951	0.411095952706	2158	192	904	1254	41
1579	Q9UM13	P53068	0.289473684211	185	65	55	130	5
333	Q9NV06	P33750	0.46875	443	48	210	233	5
961	O43633	P36108	0.440528634361	222	10	100	122	5
682	Q9BXY0	P10962	0.471760797342	290	26	142	148	11
989	P28070	P30657	0.390804597701	252	26	102	150	9
