cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	S.cerevisiae_GeneID	H.sapiens_structure	S.cerevisiae_structure	name	length	secondaryIdentifier	primaryIdentifier	hyperlink	any_structure	auxotrophic	non_respiratory	non_carbon_using
962	O75478	Q02336	0.28801843318	423	31	125	298	11	201	O75478	Q02336	TADA2A	ADA2	TRUE	TRUE	transcriptional ADAptor	1305	YDR448W	S000002856	https://www.yeastgenome.org/locus/S000002856	TRUE	TRUE	TRUE	FALSE
699	P54819	P07170	0.5625	221	19	126	95	3	262	P54819	P07170	AK2	ADK1	TRUE	TRUE	ADenylate Kinase	669	YDR226W	S000002634	https://www.yeastgenome.org/locus/S000002634	TRUE	TRUE	TRUE	TRUE
713	O75083	P46680	0.290268456376	572	77	173	399	24	256	O75083	P46680	WDR1	AIP1	FALSE	TRUE	Actin Interacting Protein	1848	YMR092C	S000004698	https://www.yeastgenome.org/locus/S000004698	TRUE	TRUE	FALSE	FALSE
1071	O00764	P39988	0.354098360656	296	32	108	188	9	181	O00764	P39988	PDXK	BUD16	TRUE	FALSE	BUD site selection	939	YEL029C	S000000755	https://www.yeastgenome.org/locus/S000000755	TRUE	TRUE	FALSE	FALSE
1846	O00488	Q08004	0.370967741935	119	62	46	73	5	70	O00488	Q08004	ZNF593	BUD20	TRUE	TRUE	BUD site selection	501	YLR074C	S000004064	https://www.yeastgenome.org/locus/S000004064	TRUE	TRUE	FALSE	FALSE
752	O43709	P25627	0.464028776978	274	8	129	145	4	248	O43709	P25627	BUD23	BUD23	TRUE	TRUE	BUD site selection	828	YCR047C	S000000643	https://www.yeastgenome.org/locus/S000000643	TRUE	TRUE	FALSE	FALSE
499	Q9Y263	P36037	0.330995792426	686	138	236	450	27	329	Q9Y263	P36037	PLAA	DOA1	TRUE	TRUE	Degradation Of Alpha	2148	YKL213C	S000001696	https://www.yeastgenome.org/locus/S000001696	TRUE	TRUE	FALSE	FALSE
378	O95470	Q05567	0.372134038801	552	53	211	341	15	387	O95470	Q05567	SGPL1	DPL1	TRUE	TRUE	Dihydrosphingosine Phosphate Lyase	1770	YDR294C	S000002702	https://www.yeastgenome.org/locus/S000002702	TRUE	TRUE	FALSE	FALSE
1627	Q99720	P32352	0.305936073059	212	21	67	145	7	97	Q99720	P32352	SIGMAR1	ERG2	TRUE	FALSE	ERGosterol biosynthesis	669	YMR202W	S000004815	https://www.yeastgenome.org/locus/S000004815	TRUE	TRUE	FALSE	FALSE
1037	Q9BV79	P38071	0.354107648725	341	71	125	216	12	187	Q9BV79	P38071	MECR	ETR1	TRUE	FALSE	2-Enoyl Thioester Reductase	1143	YBR026C	S000000230	https://www.yeastgenome.org/locus/S000000230	TRUE	TRUE	TRUE	FALSE
347	Q9P2K8	P15442	0.267463813719	1527	254	425	1102	62	406	Q9P2K8	P15442	EIF2AK4	GCN2	FALSE	TRUE	General Control Nonderepressible	4980	YDR283C	S000002691	https://www.yeastgenome.org/locus/S000002691	TRUE	TRUE	FALSE	FALSE
