S.cerevisiae_GeneID	cluster	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	H.sapiens_structure	S.cerevisiae_structure	any_structure	auxotrophic	non_respiratory	non_carbon_using
ADA2	962	201	O75478	Q02336	TADA2A	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
ADE1	1967	55	P22234	P27616	PAICS	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ADE5,7	107	677	P22102	P07244	GART	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ADK1	699	262	P54819	P07170	AK2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
AIP1	713	256	O75083	P46680	WDR1	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
ARG1	330	416	P00966	P22768	ASS1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ARG3	766	243	P00480	P05150	OTC	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ARG4	236	496	P04424	P04076	ASL	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ARG5,6	1381	128	Q8N159	Q01217	NAGS	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ASC1	454	347	P63244	P38011	RACK1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
ATG5	1862	68	Q9H1Y0	Q12380	ATG5	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
ATP1	87	742	P25705	P07251	ATP5F1A	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
ATP2	91	733	P06576	P00830	ATP5F1B	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ATP3	1002	193	P36542	P38077	ATP5F1C	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ATP4	1898	64	P24539	P05626	ATP5PB	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ATP5	1432	121	P48047	P09457	ATP5PO	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ATP7	1971	54	O75947	P30902	ATP5PD	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
BNA1	1397	126	P46952	P47096	HAAO	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
BNA4	657	275	O15229	P38169	KMO	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
BNA5	450	350	Q16719	Q05979	KYNU	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
BNA6	786	238	Q15274	P43619	QPRT	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
BUD16	1071	181	O00764	P39988	PDXK	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
BUD20	1846	70	O00488	Q08004	ZNF593	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
BUD23	752	248	O43709	P25627	BUD23	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
BUD32	1433	121	Q96S44	P53323	TP53RK	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
CDC40	623	284	O60508	P40968	CDC40	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
COQ5	875	220	Q5HYK3	P49017	COQ5	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
COQ9	1868	67	O75208	Q05779	COQ9	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
COX1	128	642	P00395	P00401	MT-CO1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
COX17	1981	53	Q14061	Q12287	COX17	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
COX6	1795	76	P20674	P00427	COX5A	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
CYS3	409	370	P32929	P31373	CTH	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
CYS4	397	375	P35520	P32582	CBS	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
CYT1	537	305	P08574	P07143	CYC1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
DID4	961	201	O43633	P36108	CHMP2A	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
DOA1	499	329	Q9Y263	P36037	PLAA	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
DOC1	1579	103	Q9UM13	P53068	ANAPC10	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
DPL1	378	387	O95470	Q05567	SGPL1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ELP2	422	365	Q6IA86	P42935	ELP2	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ELP4	1860	68	Q96EB1	Q02884	ELP4	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
ERG2	1627	97	Q99720	P32352	SIGMAR1	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ETR1	1037	187	Q9BV79	P38071	MECR	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
FUM1	137	623	P07954	P08417	FH	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
GAL7	491	331	P07902	P08431	GALT	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
GCN2	347	406	Q9P2K8	P15442	EIF2AK4	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
GCN3	860	223	Q14232	P14741	EIF2B1	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
GIM5	1535	109	Q99471	Q04493	PFDN5	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
GRX5	1477	116	Q86SX6	Q02784	GLRX5	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
GSH1	253	476	P48506	P32477	GCLC	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
GUA1	568	299	P49915	P38625	GMPS	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
HAP3	1336	136	P25208	P13434	NFYB	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
HEM12	429	362	P06132	P32347	UROD	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
HEM14	1516	111	P50336	P40012	PPOX	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
HER2	825	229	Q9H0R6	Q03557	QRSL1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
HSL7	746	249	O14744	P38274	PRMT5	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
HSV2	1029	188	Q5MNZ6	P50079	WDR45B	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
IBA57	1801	76	Q5T440	P47158	IBA57	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
ICP55	645	280	Q9NQH7	P40051	XPNPEP3	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
IDH2	465	343	P50213	P28241	IDH3A	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
IFM1	408	371	P46199	P25038	MTIF2	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
IKI3	223	510	O95163	Q06706	ELP1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
