cluster	protein1	protein2	overall_score	total_align_length	total_gap_length	total_perfect_align	total_nonperfect_align	n_gaps	S.cerevisiae_GeneID	bitscore	H.sapiens_ProteinID	S.cerevisiae_ProteinID	H.sapiens_GeneID	H.sapiens_structure	S.cerevisiae_structure	any_structure	auxotrophic	non_respiratory	non_carbon_using
3	P27708	P07259	0.512373968836	2149	141	1118	1031	33	URA2	2085	P27708	P07259	CAD	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
64	Q9ULG1	P53115	0.392772977219	1225	595	500	725	48	INO80	806	Q9ULG1	P53115	INO80	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
87	P25705	P07251	0.702752293578	541	16	383	158	4	ATP1	742	P25705	P07251	ATP5F1A	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
91	P06576	P00830	0.735922330097	510	20	379	131	5	ATP2	733	P06576	P00830	ATP5F1B	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
97	P0CG48	P0CG63	0.953002610966	381	304	365	16	2	UBI4	711	P0CG48	P0CG63	UBC	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
106	P43246	P25847	0.418378378378	909	80	387	522	16	MSH2	680	P43246	P25847	MSH2	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
107	P22102	P07244	0.446406052963	783	246	354	429	10	ADE5,7	677	P22102	P07244	GART	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
116	P54098	P15801	0.397397397397	975	543	397	578	24	MIP1	660	P54098	P15801	POLG	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
128	P00395	P00401	0.580582524272	510	27	299	211	5	COX1	642	P00395	P00401	MT-CO1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
137	P07954	P08417	0.646341463415	487	24	318	169	5	FUM1	623	P07954	P08417	FH	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
195	P09622	P09624	0.55	491	26	275	216	9	LPD1	545	P09622	P09624	DLD	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
207	Q8NEB9	P22543	0.363109048724	846	70	313	533	16	VPS34	530	Q8NEB9	P22543	PIK3C3	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
217	Q9NPH2	P11986	0.508704061896	509	73	263	246	8	INO1	517	Q9NPH2	P11986	ISYNA1	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
223	O95163	Q06706	0.293469708891	1235	211	373	862	36	IKI3	510	O95163	Q06706	ELP1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
233	P42356	P37297	0.270080862534	1773	456	501	1272	82	STT4	498	P42356	P37297	PI4KA	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
